Category,BugID,MutationRate,PopulationSize,Iteration,Time,Generation,Solution,Status
Math,85,0.25,80,1,,,,
Math,95,0.25,80,1,,,,
Math,71,0.25,240,1,,,,
Math,73,0.25,240,1,,,,
Math,78,0.25,240,1,,,,
Math,80,0.25,240,1,,,,
Math,81,0.25,240,1,,,,
Math,82,0.25,240,1,,,,
Math,84,0.25,240,1,,,,
Math,85,0.25,240,1,,,,
Math,95,0.25,240,1,,,,
Math,71,0.25,720,1,,,,
Math,73,0.25,720,1,,,,
Math,78,0.25,720,1,,,,
Math,80,0.25,720,1,,,,
Math,81,0.25,720,1,,,,
Math,82,0.25,720,1,,,,
Math,84,0.25,720,1,,,,
Math,85,0.25,720,1,,,,
Math,95,0.25,720,1,,,,
Time,4,1,1,1,407.446,200,NOT_Found,MAX_GENERATION
Time,11,1,1,1,1102.755,200,NOT_Found,MAX_GENERATION
Chart,1,1,1,1,1243.729,123,Found,STOP_BY_PATCH_FOUND
Chart,3,1,1,1,192.749,200,NOT_Found,MAX_GENERATION
Chart,5,1,1,1,99.069,200,NOT_Found,MAX_GENERATION
Chart,7,1,1,1,151.7,200,NOT_Found,MAX_GENERATION
Chart,13,1,1,1,125.475,57,Found,STOP_BY_PATCH_FOUND
Chart,16,1,1,1,145.847,200,NOT_Found,MAX_GENERATION
Chart,25,1,1,1,1200.994,28,Found,STOP_BY_PATCH_FOUND
Time,4,1,20,1,439.835,64,NOT_Found,ERROR
Time,11,1,20,1,2677.321,77,NOT_Found,TIME_OUT
Chart,1,1,20,1,1372.472,7,Found,STOP_BY_PATCH_FOUND
Chart,3,1,20,1,574.635,200,NOT_Found,MAX_GENERATION
Chart,5,1,20,1,303.659,200,NOT_Found,MAX_GENERATION
Chart,7,1,20,1,549.049,88,Found,STOP_BY_PATCH_FOUND
Chart,13,1,20,1,134.38,3,Found,STOP_BY_PATCH_FOUND
Chart,16,1,20,1,1092.148,200,NOT_Found,MAX_GENERATION
Chart,25,1,20,1,1460.436,2,Found,STOP_BY_PATCH_FOUND
Time,4,1,80,1,461.524,24,NOT_Found,ERROR
Time,11,1,80,1,2651.736,19,NOT_Found,TIME_OUT
Chart,1,1,80,1,1357.838,2,Found,STOP_BY_PATCH_FOUND
Chart,3,1,80,1,1852.546,200,NOT_Found,MAX_GENERATION
Chart,5,1,80,1,1914.296,193,NOT_Found,TIME_OUT
